구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,537338.0,6871.0,0.0015545098039215683,85.46306611114227
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,465097.0,2809.0,0.0004117141929822564,85.55022576390748
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,300824.0,3090.0,0.0005253170120398981,94.07072761768072
강서구,0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,72.90076335877863,100.0,100.0,60.1145038167939,84.75210477081384,578426.0,2744.0,0.0007468620896493024,96.5728087490353
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,500336.0,5149.0,0.0009153095490429256,85.21222448195587
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,353110.0,3211.0,0.0007055932926332812,96.37581975731734
구로구,0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,419984.0,4608.0,0.000833257463629403,75.27790635466599
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,244901.0,2411.0,0.00021341569499782223,97.9971394327299
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,514445.0,2492.0,0.0006097423592324042,88.64617415331136
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,318100.0,1930.0,0.00010196078431372549,100.0
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.32938643702906356,0.3793350017876296,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,352592.0,2628.0,0.000522854600038226,95.44425044106504
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2877646214567635,0.15123346442617092,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,394649.0,2306.0,0.0004645343120460244,74.63336788530299
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5353426623609616,0.5348587772613513,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,378629.0,2496.0,0.0008489367441170109,85.92538102511915
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,317075.0,3055.0,0.00019905149250057673,88.87514434317907
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5640473627556513,0.32606363961387197,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,413677.0,4082.0,0.0007884869871084763,77.1816918763104
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.1951919626838895,0.0446907400786557,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,291609.0,3829.0,0.00022752248070590517,94.08881015517144
성북구,0.13832853025936598,0.0,0.24999999999999997,0.2590599210620739,0.25813371469431534,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,442680.0,4602.0,0.00028976709312504166,89.72724267775804
송파구,0.340057636887608,0.4705882352941176,0.75,0.780767850735558,0.6464068644976761,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,668261.0,2897.0,0.0009561025879727871,85.10306586921345
양천구,0.051873198847262214,0.05882352941176466,0.08333333333333334,0.296734840330104,0.365391490883089,87.5,50.0,100.0,35.55555555555556,80.90872857712236,449378.0,3650.0,0.00027397004569777706,81.82382687349065
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6820954431288124,0.7454415445119771,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,400241.0,4056.0,0.0012747945449787701,81.95875250321699
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.17725152493720842,0.2012870933142653,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,236518.0,2611.0,0.00045538562110543167,94.77678951004307
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.30534625044851094,0.4168752234537004,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,476013.0,4131.0,0.000392091828873096,86.84238612008086
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.4022246142805884,0.2881658920271719,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,153684.0,1715.0,0.0005410515371442109,84.14183528687248
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5328310010764262,0.26349660350375403,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,,,0.0004194945514969624,74.12265003790951
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.384642985288841,0.486235252055774,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,393600.0,3737.0,0.0007633417129011724,87.06666281875579
